"date","releaseType","estimate_kgh","actual_kgh","technology"
2022-09-25 20:00:00,"1.7mStack",1,5,"qogiC"
2022-09-25 20:00:00,"1.7mStack",0.72,1.5,"qogiC"
2022-09-25 20:00:00,"1.7mStack",3.5,20.8823529411765,"qogiC"
2022-09-25 20:00:00,"1.7mStack",0.25,0.25,"qogiC"
2022-09-25 20:00:00,"1.7mStack",0.27,0,"qogiC"
2022-09-25 20:00:00,"1.7mStack",1.9,1.5,"qogiC"
2022-09-25 20:00:00,"1.7mStack",24,20.8823529411765,"qogiC"
2022-09-25 20:00:00,"1.7mStack",0.21,0.25,"qogiC"
2022-09-25 20:00:00,"1.7mStack",5.4,1.5,"qogiC"
2022-09-25 20:00:00,"1.7mStack",21,20.8823529411765,"qogiC"
2022-09-25 20:00:00,"1.7mStack",0.01,0.25,"qogiC"
2022-09-25 20:00:00,"1.7mStack",0,0,"qogiC"
2022-09-25 20:00:00,"1.7mStack",24,20.8823529411765,"qogiC"
2022-09-25 20:00:00,"1.7mStack",20,20.8823529411765,"qogiC"
2022-09-25 20:00:00,"1.7mStack",3.1,1.5,"qogiC"
2022-09-25 20:00:00,"1.7mStack",0,0.25,"qogiC"
2022-09-25 20:00:00,"TallFlare",42,49.7058823529412,"qogiC"
2022-09-25 20:00:00,"TallFlare",21,20.8823529411765,"qogiC"
2022-09-25 20:00:00,"TallFlare",27,35.2941176470588,"qogiC"
2022-09-25 20:00:00,"TallFlare",36,39.7058823529412,"qogiC"
2022-09-25 20:00:00,"TallFlare",15,10,"qogiC"
2022-09-25 20:00:00,"4.8mStack",4.3,5,"qogiC"
2022-09-25 20:00:00,"4.8mStack",35,49.7058823529412,"qogiC"
2022-09-25 20:00:00,"4.8mStack",14,20.8823529411765,"qogiC"
2022-09-25 20:00:00,"4.8mStack",19,35.2941176470588,"qogiC"
2022-09-25 20:00:00,"4.8mStack",19,39.7058823529412,"qogiC"
2022-09-25 20:00:00,"4.8mStack",6.8,10,"qogiC"
2022-09-25 20:00:00,"4.8mStack",0,0,"qogiC"
2022-09-25 20:00:00,"4.8mStack",0.1,0.25,"qogiC"
2022-09-25 20:00:00,"4.8mStack",2.5,2.5,"qogiC"
2022-09-25 20:00:00,"4.8mStack",1.3,1.5,"qogiC"
2022-09-26 20:00:00,"GreenTankIntoWind",0.35,5,"qogiC"
2022-09-26 20:00:00,"GreenTankIntoWind",0.38,2.5,"qogiC"
2022-09-26 20:00:00,"GreenTankIntoWind",0,0,"qogiC"
2022-09-26 20:00:00,"GreenTankIntoWind",4,10,"qogiC"
2022-09-26 20:00:00,"GreenTankIntoWind",0.38,0.25,"qogiC"
2022-09-26 20:00:00,"GreenTankIntoWind",1.3,1.5,"qogiC"
2022-09-26 20:00:00,"GreenTankIntoWind",0.53,1,"qogiC"
2022-09-26 20:00:00,"GreenTankAwayWind",1.7,1,"qogiC"
2022-09-26 20:00:00,"GreenTankAwayWind",1.6,1.5,"qogiC"
2022-09-26 20:00:00,"GreenTankAwayWind",0.59,0.25,"qogiC"
2022-09-26 20:00:00,"GreenTankAwayWind",13,10,"qogiC"
2022-09-26 20:00:00,"GreenTankAwayWind",0,0,"qogiC"
